lecture,value
10001,1
10002,1
10003,10
10004,77
10005,42
10006,5
10007,43
10008,4
10009,1
10010,9
10011,5
10012,3
10013,38
10014,1
10015,1
10016,28
10017,129
10018,9
10019,4
10020,13
10021,9
10022,32
10023,14
10024,10
10025,76
10026,1
10027,8
10028,1
10029,31
10030,34
10031,10
10032,15
10033,38
10034,16
10035,23
10036,45
10037,8
10038,5
10039,7
10040,4
10041,8
10042,42
10043,1
10044,13
10045,2
10046,1
10047,17
10048,8
10049,40
10050,54
10051,34
10052,6
10053,2
10054,3
10055,1
10056,1
10057,26
10058,1
10059,1
10060,68
10061,92
10062,1
10063,53
10064,3
10065,22
10066,1
10067,49
10068,1
10069,1
10070,85
10071,55
10072,1
10073,8
10074,190
10075,13
10076,1
10077,2
10078,98
10079,51
10080,38
10081,29
10082,23
10083,14
10084,29
10085,36
10086,50
10087,10
10088,140
10089,13
10090,103
10091,11
10092,89
10093,13
10094,6
10095,7
10096,106
10097,2
10098,1
10099,45
10100,9
10101,18
10102,1
10103,9
10104,9
10105,25
10106,24
10107,5
10108,84
10109,55
10110,120
10111,19
10112,45
10113,9
10114,9
10115,20
10116,4
10117,108
10118,3
10119,1
10120,1
10121,46
10122,9
10123,5
10124,31
10125,66
10126,24
10127,7
10128,23
10129,75
10130,21
10131,18
10132,18
10133,24
10134,42
10135,8
10136,17
10137,2
10138,17
10139,146
10140,22
10141,35
10142,12
10143,228
10144,1
10145,40
10146,1
10147,3
10148,4
10149,28
10150,8
10151,1
10152,1
10153,1
10154,26
10155,69
10156,37
10157,1
10158,36
10159,16
10160,12
10161,155
10162,38
10163,15
10164,1
10165,2
10166,1
10167,9
10168,1
10169,4
10170,2
10171,1
10172,10
10173,185
10174,9
10175,76
10176,1
10177,16
10178,68
10179,38
10180,98
10181,29
10182,46
10183,6
10184,26
10185,1
10186,21
10187,21
10188,73
10189,1
10190,1
10191,8
10192,245
10193,4
10194,75
10195,5
10196,1
